388,1463
1851,411
2262,379
2641,455
3096,270
3366,280
3646,451
4097,292
4389,235
4624,439
5063,224
5287,264
5551,209
5760,423
6183,199
6382,230
6612,210
6822,178
7000,165
7165,341
7506,145
7651,229
7880,41
7921,216
8137,53
8190,127
8317,37
8354,421
8775,179
8954,40
8994,176
9170,130
9300,121
9421,112
9533,94
9627,39
9666,19
9685,21
9706,57
9763,84
388,333
721,784
1505,589
2094,402
2496,270
2766,454
3220,275
3495,267
3762,486
4248,272
4520,224
4744,439
5183,221
5404,227
5631,239
5870,395
6265,219
6484,234
6718,304
7022,67
7089,358
7447,317
7764,39
7803,134
7937,55
7992,127
8119,905
9024,37
9061,28
9089,201
9290,40
9330,52
9382,32
9414,28
9442,123
9565,34
9599,169
9768,33
9801,18
9819,23
388,287
675,1320
1995,290
2285,406
2691,432
3123,267
3390,280
3670,678
4348,238
4586,436
5022,223
5245,267
5512,59
5571,211
5782,423
6205,196
6401,371
6772,200
6972,163
7135,351
7486,50
7536,223
7759,413
8172,123
8295,133
8428,37
8465,242
8707,134
8841,30
8871,46
8917,23
8940,100
9040,34
9074,32
9106,111
9217,298
9515,97
9612,74
9686,21
9707,32
388,1253
1641,194
1835,200
2035,422
2457,270
2727,433
3160,267
3427,284
3711,282
3993,286
4279,268
4547,223
4770,602
5372,229
5601,236
5837,395
6232,196
6428,261
6689,177
6866,176
7042,387
7429,31
7460,39
7499,51
7550,46
7596,317
7913,126
8039,144
8183,36
8220,215
8435,328
8763,56
8819,33
8852,40
8892,30
8922,95
9017,97
9114,42
9156,37
9193,129
388,1764
2152,402
2554,276
2830,431
3261,282
3543,458
4001,285
4286,265
4551,225
4776,434
5210,230
5440,104
5544,210
5754,421
6175,200
6375,225
6600,218
6818,176
6994,165
7159,342
7501,220
7721,150
7871,43
7914,218
8132,312
8444,248
8692,138
8830,165
8995,34
9029,36
9065,29
9094,29
9123,45
9168,36
9204,296
9500,32
9532,36
9568,190
9758,22
9780,29
388,1260
1648,192
1840,197
2037,422
2459,271
2730,431
3161,268
3429,285
3714,490
4204,250
4454,260
4714,568
5282,265
5547,209
5756,423
6179,200
6379,374
6753,169
6922,194
7116,447
7563,127
7690,56
7746,36
7782,230
8012,36
8048,142
8190,38
8228,47
8275,40
8315,35
8350,53
8403,36
8439,420
8859,42
8901,27
8928,24
